user_id	smiles	start_time	end_time	undos	predictions_used	rubs	prediction_type	group_id	smiles_drawn	time_taken
7	C1(C=C(C)N=CC=1)Br	2017-03-17 17:46:37	2017-03-17 17:46:58	0	0	0	1	2	C1(=CC(C)=NC=C1)Br	00:00:21
7	C1(C=C(C)N=CC=1)Br	2017-03-17 17:48:40	2017-03-17 17:48:58	0	0	0	2	2	C1(=CC(C)=NC=C1)Br	00:00:18
7	C1(C=C(C)N=CC=1)Br	2017-03-17 17:57:49	2017-03-17 17:58:05	0	0	0	0	2	C1=C(Br)C=C(C)N=C1	00:00:16
7	C1=CC(F)=CC(O)=C1C(=O)NN	2017-03-17 17:45:05	2017-03-17 17:45:55	2	0	0	3	2	C1=CC(F)=CC(O)=C1C(=O)NN	00:00:50
7	C1=CC(F)=CC(O)=C1C(=O)NN	2017-03-17 17:47:20	2017-03-17 17:48:03	1	0	0	2	2	C(F)1=CC(O)=C(C(=O)NN)C=C1	00:00:43
7	C1=CC(F)=CC(O)=C1C(=O)NN	2017-03-17 17:51:46	2017-03-17 17:52:09	1	1	0	1	2	C1=CC(F)=CC(O)=C1C(=O)NN	00:00:23
7	C1=CC(F)=CC(O)=C1C(=O)NN	2017-03-17 17:56:55	2017-03-17 17:57:29	2	0	0	0	2	C1=CC(F)=CC(O)=C1C(=O)NN	00:00:34
7	C1=CC=CC(B(O)O)=C1C(=O)O	2017-03-17 17:50:38	2017-03-17 17:51:01	0	1	0	3	2	C1=CC=CC(B(O)O)=C1C(=O)O	00:00:23
7	C1=CC=CC(B(O)O)=C1C(=O)O	2017-03-17 17:51:03	2017-03-17 17:51:29	1	1	0	2	2	C1=CC=CC(B(O)O)=C1C(=O)O	00:00:26
7	C1=CC=CC(B(O)O)=C1C(=O)O	2017-03-17 17:52:10	2017-03-17 17:52:40	0	0	0	0	2	C1=CC=CC(B(O)O)=C1C(=O)O	00:00:30
7	C1=CC=CC(B(O)O)=C1C(=O)O	2017-03-17 17:57:30	2017-03-17 17:57:47	2	1	0	1	2	C1=CC=CC(B(O)O)=C1C(=O)O	00:00:17
7	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	2017-03-17 17:52:44	2017-03-17 17:54:03	2	0	3	3	2	C1=CC=C2C(COCC3C4=CC=CC=C4NC=3)=CNC2=C1	00:01:19
7	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	2017-03-17 17:54:04	2017-03-17 17:55:02	3	0	1	1	2	C1=CC=C2C(COCC3C4=CC=CC=C4NC=3)=CNC2=C1	00:00:58
7	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	2017-03-17 17:55:38	2017-03-17 17:56:53	3	0	0	0	2	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	00:01:15
7	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	2017-03-17 17:58:07	2017-03-17 17:58:19	0	1	0	2	2	C1=CC=CC2NC=C(COCC3=CNC4=CC=CC=C34)C12	00:00:12
7	C1C=CC=C2C=1NC=C2C(C1C=CC=CC=1)C[N+]([O-])=O	2017-03-17 17:47:03	2017-03-17 17:47:18	0	1	0	2	2	C1C=CC=C2C=1NC=C2C(C1C=CC=CC=1)C[N+]([O-])=O	00:00:15
7	C1C=CC=C2C=1NC=C2C(C1C=CC=CC=1)C[N+]([O-])=O	2017-03-17 17:49:00	2017-03-17 17:50:35	2	0	3	1	2	C1C=CC=C2C(C(CC[N+](=O)[O-])C3=CC=CC=C3)=CNC=12	00:01:35
7	C1C=CC=C2C=1NC=C2C(C1C=CC=CC=1)C[N+]([O-])=O	2017-03-17 17:51:32	2017-03-17 17:51:44	0	1	0	3	2	C1C=CC=C2C=1NC=C2C(C1C=CC=CC=1)C[N+]([O-])=O	00:00:12
7	C1C=CC=C2C=1NC=C2C(C1C=CC=CC=1)C[N+]([O-])=O	2017-03-17 17:58:39	2017-03-17 17:59:45	0	0	1	0	2	C1=CC=C2C(C(C[N+](=O)[O-])C3=CC=CC=C3)=CNC2=C1	00:01:06
7	N(C)(C)C(=O)[H]	2017-03-17 17:43:42	2017-03-17 17:44:13	0	0	0	0	2	CN(C([H])=O)C	00:00:31
7	N(C)(C)C(=O)[H]	2017-03-17 17:48:06	2017-03-17 17:48:19	0	1	0	1	2	N(C)(C)C(=O)[H]	00:00:13
7	N(C)(C)C(=O)[H]	2017-03-17 17:55:17	2017-03-17 17:55:36	0	0	0	2	2	CN(C(=O)[H])C	00:00:19
7	N(C)(C)C(=O)[H]	2017-03-17 17:58:21	2017-03-17 17:58:38	0	0	0	3	2	CN(C(=O)[H])C	00:00:17
8	C(=C)1C=CC(=C)C=C1	2017-03-16 14:59:09	2017-03-16 14:59:15	0	1	0	3	2	C(=C)1C=CC(=C)C=C1	00:00:06
8	C(=C)1C=CC(=C)C=C1	2017-03-16 15:02:08	2017-03-16 15:02:26	5	0	0	0	2	C(=C)1C=CC(=C)C=C1	00:00:18
8	C(=C)1C=CC(=C)C=C1	2017-03-16 15:04:31	2017-03-16 15:04:34	0	0	0	2	2	C(=C)1C=CC(=C)C=C1	00:00:03
8	C(=C)1C=CC(=C)C=C1	2017-03-16 15:08:34	2017-03-16 15:08:38	0	1	0	1	2	C(=C)1C=CC(=C)C=C1	00:00:04
8	C(F)1=CC(F)=C(C2=CC=CC=N2)C=C1	2017-03-16 15:05:12	2017-03-16 15:05:34	1	0	0	0	2	C(C1=CC=C(F)C=C1F)1=CC=CC=N1	00:00:22
8	C(F)1=CC(F)=C(C2=CC=CC=N2)C=C1	2017-03-16 15:05:42	2017-03-16 15:06:05	2	0	0	2	2	C(C1=CC=C(F)C=C1F)1=CC=CC=N1	00:00:23
8	C(F)1=CC(F)=C(C2=CC=CC=N2)C=C1	2017-03-16 15:06:12	2017-03-16 15:06:32	1	0	0	1	2	C(C1=CC=C(F)C=C1F)1=CC=CC=N1	00:00:20
8	C(F)1=CC(F)=C(C2=CC=CC=N2)C=C1	2017-03-16 15:06:40	2017-03-16 15:06:54	0	0	0	3	2	C(C1=CC=C(F)C=C1F)1=CC=CC=N1	00:00:14
8	C1=C(C=O)C=CC(F)=C1	2017-03-16 14:58:27	2017-03-16 14:58:58	1	1	0	3	2	C1=C(C=O)C=CC(F)=C1	00:00:31
8	C1=C(C=O)C=CC(F)=C1	2017-03-16 15:00:31	2017-03-16 15:00:40	0	0	0	1	2	C1=C(C=O)C=CC(F)=C1	00:00:09
8	C1=C(C=O)C=CC(F)=C1	2017-03-16 15:01:37	2017-03-16 15:01:41	0	0	0	0	2	C1=C(C=O)C=CC(F)=C1	00:00:04
8	C1=C(C=O)C=CC(F)=C1	2017-03-16 15:03:55	2017-03-16 15:04:01	0	0	0	2	2	C1=C(C=O)C=CC(F)=C1	00:00:06
8	C1=CC(C(C)(C)C)=CC=C1[N+]([O-])=O	2017-03-16 14:59:26	2017-03-16 14:59:36	0	3	0	3	2	C1=CC(C(C)(C)C)=CC=C1[N+]([O-])=O	00:00:10
8	C1=CC(C(C)(C)C)=CC=C1[N+]([O-])=O	2017-03-16 14:59:48	2017-03-16 15:00:23	0	0	0	0	2	C1=CC(C(C)(C)C)=CC=C1[N+](=O)[O-]	00:00:35
